flight_id,flight,callsign,squawk,clicks,from_iata,from_city,to_iata,to_city,model,type
35535249,CTM1018,FORTE11,,1496,NOU,Manila,MLE,,A332,Airbus A380-842
355288a8,CTM1018,DQA443,,-315,,Bangkok,MLE,Moscow,Q4,Tupolev Tu-214PU
3553b859,JT126,BKP711,,-213,BKK,Manila,SVO,Tanjung Pandan,AT76,Boeing 777-312(ER)
3553b89d,SQ321,CTM1018,,105,IST,London,MLE,Tanjung Pandan,B77W,Northrop Grumman RQ-4B Global Hawk
3553cbd8,EK21,SIA321,,-309,HDK,Istanbul,,Male,T214,Northrop Grumman RQ-4B Global Hawk
3553cbd8,SQ321,FORTE11,,0,LHR,Jakarta,MLE,Moscow,A319,ATR 72-600
3552d5b4,CTM1018,FORTE11,,684,CGK,Istanbul,SVO,Manchester,Q4,Airbus A330-203
3553b859,JT126,SIA321,,-243,CGK,Noumea,MLE,Singapore,Q4,Boeing 737-8GP
35535249,QF6036,LNI126,,-261,LHR,Jakarta,MLE,,Q4,Tupolev Tu-214PU
3553cbd8,CTM1018,DQA443,,377,CGK,Istanbul,SVO,Moscow,A388,Airbus A330-203
3552e106,,CTM1018,,-316,CGK,,,Manchester,B77W,Boeing 777-312(ER)
354fc50c,CTM1018,DQA443,,-309,CGK,Moscow,,Male,A332,Boeing 777-312(ER)
3553b859,EK21,BKP711,,-494,HDK,Bangkok,SYD,Male,A332,Tupolev Tu-214PU
3553a103,EK21,LNI126,,-177,HDK,Moscow,SVO,Manchester,A319,ATR 72-600
3553b859,SQ321,BKP711,,-187,LHR,,SIN,Male,Q4,Airbus A330-203
3553b859,Q2443,SIA321,,-729,IST,,,Tanjung Pandan,B77W,Tupolev Tu-214PU
3553a103,,LNI126,,134,DXB,Bangkok,SIN,,B738,Airbus A319-132
35535249,EK21,RSD974,,-235,,Jakarta,TJQ,,AT76,Airbus A319-132
3552d5b4,RSD974,SIA321,,81,BKK,Manila,,,A319,Airbus A330-243
3552e106,JT126,LNI126,,-266,IST,Istanbul,SIN,Male,B738,Tupolev Tu-214PU
